"","PERC_N.11.comps"
"Wave_2315",1.06059375374567
"Wave_2316",0.855031273302479
"Wave_2317",1.13049107828767
"Wave_2318",1.88127906450812
"Wave_2319",2.23598894642411
"Wave_2320",2.16048662869859
"Wave_2321",2.06894382164556
"Wave_2322",2.33841249531518
"Wave_2323",2.5061668158758
"Wave_2324",2.28603430126117
"Wave_2325",2.24644066066104
"Wave_2326",2.5869711129733
"Wave_2327",2.57696901445999
"Wave_2328",2.27929767210985
"Wave_2329",2.28541026119965
"Wave_2330",2.49389784620445
"Wave_2331",2.20337053745225
"Wave_2332",1.78093354218328
"Wave_2333",1.67627034963688
"Wave_2334",1.56347268949236
"Wave_2335",1.30520821613191
"Wave_2336",1.07963372849462
"Wave_2337",0.751993353329555
"Wave_2338",0.57854210933868
"Wave_2339",0.647280557106963
"Wave_2340",0.483315516264221
"Wave_2341",0.108859155103918
