"","CELL_PERC_DW.13.comps"
"Wave_1766",8.51971355174441
"Wave_1767",5.56396576068905
"Wave_1768",7.27666745562725
"Wave_1769",9.07818098563226
"Wave_1770",10.1156938405195
"Wave_1771",10.8915853064404
"Wave_1772",11.1822246905513
"Wave_1773",10.4610528444211
"Wave_1774",10.0701020354591
"Wave_1775",9.8703521065246
"Wave_1776",9.82697042329675
"Wave_1777",9.61082655727982
"Wave_1778",8.73186104313709
"Wave_1779",7.89016527836415
"Wave_1780",8.78698174579315
"Wave_1781",7.56755676873721
"Wave_1782",4.82321585422378
"Wave_1783",3.89126253930947
"Wave_1784",3.16127757080909
"Wave_1785",4.84111178693556
"Wave_1786",6.60216230665155
"Wave_1787",5.83711995577516
"Wave_1788",5.3744387883688
"Wave_1789",4.13916038255304
"Wave_1790",1.29624992766448
"Wave_1791",7.27081431998664
"Wave_1792",7.82421343537364
"Wave_1793",5.7228342062303
"Wave_1794",9.24478888493101
"Wave_1795",11.2298087657119
"Wave_1796",7.07709751620192
"Wave_1797",7.4386638430121
"Wave_1798",10.0994901829314
"Wave_1799",8.03844451770249
"Wave_1800",3.60326416378013
"Wave_1801",2.34589400408451
"Wave_1802",4.22430724973771
"Wave_1803",3.63818886817295
"Wave_1804",1.54609282789159
"Wave_1805",-4.73493372967034
"Wave_1806",-8.09730757891096
"Wave_1807",-10.5570190275682
"Wave_1808",-8.17686563109071
"Wave_1809",-6.13713452642989
"Wave_1810",-4.40682417618716
"Wave_1811",-5.82355928825362
"Wave_1812",-7.50997991775291
"Wave_1813",-5.14717040713975
"Wave_1814",-3.85451876915933
"Wave_1815",-5.25848559183893
"Wave_1816",-6.41676366251063
"Wave_1817",-7.1271218472297
"Wave_1818",-7.95125499607659
"Wave_1819",-9.7991819378798
"Wave_1820",-13.2125012395507
"Wave_1821",-12.5885995237902
"Wave_1822",-11.808418769071
"Wave_1823",-12.8398545353643
"Wave_1824",-12.1201572260935
"Wave_1825",-12.3533244607356
"Wave_1826",-15.359701870319
"Wave_1827",-17.3550621958032
"Wave_1828",-16.4090545712125
"Wave_1829",-12.3402491630082
"Wave_1830",-12.5869285400468
"Wave_1831",-14.348357778558
"Wave_1832",-12.7345662204423
"Wave_1833",-9.19821674106028
"Wave_1834",-9.24321748212571
"Wave_1835",-10.9254658117091
"Wave_1836",-11.8336114074385
"Wave_1837",-10.5331563760375
"Wave_1838",-10.0270028456089
"Wave_1839",-8.72199123416543
"Wave_1840",-6.81558372248359
"Wave_1841",-5.50728951013006
"Wave_1842",-3.88613285415474
"Wave_1843",-4.2907614615411
"Wave_1844",-5.3779128716191
"Wave_1845",-5.0999514946549
"Wave_1846",-2.74618795008694
"Wave_1847",1.09173433786406
"Wave_1848",-0.87681910482648
"Wave_1849",-1.71462637132607
"Wave_1850",-1.14314165113207
"Wave_1851",1.22147038456276
"Wave_1852",2.08921266185481
"Wave_1853",2.61225765977699
"Wave_1854",7.54037842675399
"Wave_1855",7.97426491912006
"Wave_1856",7.35284839604333
"Wave_1857",6.21067341920082
"Wave_1858",6.98114871898705
"Wave_1859",9.35427708965629
"Wave_1860",11.4156019690132
"Wave_1861",10.991275889314
"Wave_1862",9.14361591949656
"Wave_1863",9.99756072608963
"Wave_1864",10.7512714800076
"Wave_1865",13.9246885367378
"Wave_1866",10.0667034836748
"Wave_1867",8.08374715441335
"Wave_1868",7.6493119868404
"Wave_1869",9.16245741305244
"Wave_1870",8.49699889355434
"Wave_1871",7.8505391644594
"Wave_1872",10.747104495057
"Wave_1873",9.74365657583148
"Wave_1874",9.97019061870364
"Wave_1875",10.8532235233074
"Wave_1876",8.16890717793385
"Wave_1877",8.71405762014297
"Wave_1878",8.37955703404428
"Wave_1879",10.028341360549
"Wave_1880",6.89240355820277
"Wave_1881",4.93967804113102
"Wave_1882",6.71342906578812
"Wave_1883",4.22886989995499
"Wave_1884",1.17417195962722
"Wave_1885",-3.50367815725166
"Wave_1886",-2.05872750780934
"Wave_1887",-3.0952798218195
"Wave_1888",-3.83703385380742
"Wave_1889",-5.16116628127939
"Wave_1890",-7.43265581616796
"Wave_1891",-8.729313781873
"Wave_1892",-12.8386348008686
"Wave_1893",-11.6779233216495
"Wave_1894",-12.7189180079656
"Wave_1895",-12.4275081069979
"Wave_1896",-13.5310609457241
"Wave_1897",-14.8810939143516
"Wave_1898",-15.1144839674098
"Wave_1899",-16.0666451244591
"Wave_1900",-16.3834576888035
"Wave_1901",-16.3616058476697
"Wave_1902",-14.0998157262972
"Wave_1903",-13.2059509038898
"Wave_1904",-14.645652147378
"Wave_1905",-16.3349951948685
"Wave_1906",-15.7312207386338
"Wave_1907",-14.9301039491691
"Wave_1908",-15.4006461862266
"Wave_1909",-15.6726237027917
"Wave_1910",-15.2782764608074
"Wave_1911",-14.456461428268
"Wave_1912",-12.3847705393638
"Wave_1913",-9.58774851284106
"Wave_1914",-7.57788147040796
"Wave_1915",-6.96955686410758
"Wave_1916",-6.26810647879833
"Wave_1917",-2.93119539172584
"Wave_1918",-0.852188554991758
"Wave_1919",-1.84769869553966
"Wave_1920",-1.94528263128236
"Wave_1921",-0.999178221560695
"Wave_1922",0.132859288752694
"Wave_1923",2.8692443344426
"Wave_1924",4.08965896512804
"Wave_1925",4.49587465483441
"Wave_1926",4.70891085459247
"Wave_1927",4.80197472889661
"Wave_1928",3.15968280188244
"Wave_1929",2.27051384580499
"Wave_1930",2.95388741081682
"Wave_1931",3.77405496124553
"Wave_1932",5.83020443229413
"Wave_1933",6.87437295418612
"Wave_1934",7.63949469771648
"Wave_1935",6.54257251879551
"Wave_1936",6.19051627113473
"Wave_1937",7.34759007872124
"Wave_1938",7.63588998892925
"Wave_1939",7.22687878280144
"Wave_1940",9.17283027417848
"Wave_1941",10.6789392073352
"Wave_1942",9.5639922601395
"Wave_1943",9.26047305623848
"Wave_1944",8.15774132895854
"Wave_1945",5.84208055975804
"Wave_1946",3.52409697434201
"Wave_1947",0.755292944583663
"Wave_1948",3.20725022093777
"Wave_1949",4.87320336365173
"Wave_1950",2.5405848409949
"Wave_1951",-1.82466551483877
"Wave_1952",-2.4748090935751
"Wave_1953",1.48880113145013
"Wave_1954",5.23231048198237
"Wave_1955",2.65072163148262
"Wave_1956",-1.16151617744952
"Wave_1957",-1.94331155327612
"Wave_1958",-3.0076546978686
"Wave_1959",-6.30759681677198
"Wave_1960",-7.62558933514764
"Wave_1961",-4.94056535424403
"Wave_1962",-3.67910385143591
"Wave_1963",-3.6697109349888
"Wave_1964",-3.7811964581922
"Wave_1965",-4.08200657027891
"Wave_1966",-1.9291154079752
"Wave_1967",-1.60567069355446
"Wave_1968",-1.75766243105388
"Wave_1969",-1.0338398537375
"Wave_1970",-3.47370613648662
"Wave_1971",-6.17443256232686
"Wave_1972",-6.21323171904055
"Wave_1973",-5.07821369597823
"Wave_1974",-5.49810103837224
"Wave_1975",-5.77039421361652
"Wave_1976",-3.87620792387163
"Wave_1977",-2.14103485303944
"Wave_1978",-1.45141412172309
"Wave_1979",-3.76085764208225
"Wave_1980",-6.37141690939667
"Wave_1981",-6.64672976881808
"Wave_1982",-5.95253507955379
"Wave_1983",-6.80785308616224
"Wave_1984",-8.28166588666271
"Wave_1985",-6.38927402823083
"Wave_1986",-4.47879219005035
"Wave_1987",-3.89868914917528
"Wave_1988",-2.7750662519136
"Wave_1989",-2.36983117032338
"Wave_1990",-2.86347536875919
"Wave_1991",-1.07205819953172
"Wave_1992",1.70395605253549
"Wave_1993",2.78647922752422
"Wave_1994",1.58977491175179
"Wave_1995",2.69528981216294
"Wave_1996",2.68956616003104
"Wave_1997",1.53866949499253
"Wave_1998",3.83020000634214
"Wave_1999",5.68309871323006
"Wave_2000",2.09774038413765
"Wave_2001",-0.472112754434538
"Wave_2002",-1.1070840097525
"Wave_2003",-1.87747499949302
"Wave_2004",-1.8560283873066
"Wave_2005",0.577693734563581
"Wave_2006",3.05109686619451
"Wave_2007",2.44927786041774
"Wave_2008",2.09658907308994
"Wave_2009",4.85204035092893
"Wave_2010",6.72176619703932
"Wave_2011",6.40973477061338
"Wave_2012",5.52711458212929
"Wave_2013",4.46506604147984
"Wave_2014",5.31970464587863
"Wave_2015",6.64504184649007
"Wave_2016",5.6962329925915
"Wave_2017",4.74078173019885
"Wave_2018",7.52048840088473
"Wave_2019",10.6972421697507
"Wave_2020",11.5670288735856
"Wave_2021",11.0445317211929
"Wave_2022",13.603302507334
"Wave_2023",16.0035646868299
"Wave_2024",13.7451091940518
"Wave_2025",11.6667347167812
"Wave_2026",11.8145255503931
"Wave_2027",12.9036854942758
"Wave_2028",14.9714751674665
"Wave_2029",16.7860354159975
"Wave_2030",16.8021372013194
"Wave_2031",13.9028857825555
"Wave_2032",12.3476191217627
"Wave_2033",10.615224488146
"Wave_2034",8.47343146524171
"Wave_2035",6.18510082274267
"Wave_2036",5.6396028868354
"Wave_2037",6.66502824378645
"Wave_2038",7.9125269015635
"Wave_2039",9.57604117561095
"Wave_2040",7.84318195282927
"Wave_2041",5.26102569754314
"Wave_2042",5.68026644794942
"Wave_2043",6.06634776292763
